code,barcode,price,name,img,qty,cat
197063,5014541093723,1682,Barratt Jelly Beans 3kg,/1/9a765904-e526-4f39-b7c0-c1d588eec4a7.jpg,0,46
89443,5410358459415,823,HARIBO Chamallows 1kg,/1/04201e4c-9898-4345-872d-53b99f8737bb.jpg,0,46
89446,5410358464853,823,HARIBO Chamallows Minis Catering 1kg,/1/bac16a84-f567-4f2f-ab54-ae9908c91c00.jpg,0,46
851690,5012035912369,1882,HARIBO Fried Eggs 3kg,/1/73f15145-99bd-4c76-9383-29b258b9b189.jpg,0,46
851670,5012035912178,1882,HARIBO Giant Cola 3kg,/1/b282871e-38cb-4d5d-acc9-8512c04f440e.jpg,0,46
851610,5012035912376,1882,HARIBO Giant Strawbs 3kg,/1/8ad79926-ae71-4772-a5f7-b4db655971e5.jpg,0,46
71306,5012035912390,1882,HARIBO Heart Throbs 3kg,/1/2bd4195f-d78c-4156-b451-d143e7ed3bb1.jpg,0,46
851800,5012035912215,1882,HARIBO Jelly Beans 3kg,/1/8b661f65-0c78-404f-bf5d-2f625928b8a9.jpg,0,46
851890,5012035912345,1882,HARIBO Mini Jelly Babies 3kg,/1/1863873d-980d-4988-924a-748edfe1fea6.jpg,0,46
239018,5012035959272,1882,HARIBO Rhubarb & Custard 3kg,/1/e108330d-cf36-42b1-8e02-d487b0e5a447.jpg,0,46
112404,5410358453710,823,HARIBO White and Pink Mini Mallows 1kg,/1/8aa33983-2039-46b1-bb8c-7213fd485b0a.jpg,0,46
901910,5012035912383,1882,HARIBO Yellow Bellies 3kg,/1/5153f0cd-a982-40a4-b45f-f17f2174eeb3.jpg,0,46
986080,5017375132453,1869,Millions Bubblegum Flavour 2.27kg,/1/3ebe5fd0-e853-466a-8f45-19ad34ddf6c8.jpg,0,46
529172,5000159316903,1363,Skittles Fruits Sweets Bulk Vending Bag 1600g,/1/6be18296-6d77-4959-8bac-fc60d94f616e.jpg,0,46
110868,5010478459991,2323,Swizzels Love Hearts Mini Rolls,/1/c9da547e-3bc9-463e-bbe2-3258fa5f8ad6.jpg,0,46
111063,5010478198746,2323,Swizzels Mini Sweet Mix,/1/a047a8bd-4eb2-431b-b05a-68132bd343ba.jpg,0,46
111037,5010478132993,2323,Swizzels Variety Mix,/1/bdcb368b-b7ef-4295-a5cb-c1d851d2a615.jpg,0,46
238848,5010511476459,1603,Taveners Chocolate Eclairs 1.5kg,/1/1478ea23-816e-41b8-bfe9-e3136b989851.jpg,0,46
236941,5011295195574,1923,Tuck Shop Everton Mints 3kg,/1/8817e2df-231e-4a37-aea4-8505c2f76fb2.jpg,0,46
100905,5020379015295,1823,Tuck Shop Fizzy Cola Bottles 2.85kg,/1/8d72a01e-27b9-4793-acf4-967985a07cb3.jpg,0,46
100903,5020379015271,1823,Tuck Shop Fizzy Suckers 2.85kg,/1/649b080c-0314-485e-b181-5d0856867f6b.jpg,0,46
89517,5020379004992,1823,Tuck Shop Gummi Bears 2.85kg,/1/dbd123e5-d72b-4bb4-a128-fb675006c12c.jpg,0,46
89519,5020379005012,1823,Tuck Shop Jelly Babies 2.85kg,/1/de7fc4d1-d7cf-4c0b-b928-0d25168a0ede.jpg,0,46
299270,5011295195017,1703,Tuck Shop Liquorice Allsorts 3kg,/1/98653c56-dba4-4681-a6ee-77540fcdd627.jpg,0,46
115622,5020379035330,2783,Tuck Shop Milk Chocolate Mini Eggs 2.75kg,/1/ffaae741-c3dc-4b94-913c-3153fc07a923.jpg,0,46
411553,5011295178010,1882,Tuck Shop Mint Humbugs 2.75kg,/1/14c4a88b-4eb5-4e3c-a664-55cbf984f2ab.jpg,0,46
57397,5011295195215,1823,Tuck Shop Mint Imperials 3kg,/1/e46ecdab-747a-49c8-8150-21fb2314911a.jpg,0,46
189175,5011295195536,1882,Tuck Shop Sherbet Lemons 2.75kg,/1/0a19284e-8322-431f-9f2e-ac4c7284c134.jpg,0,46
89528,5020379004978,1823,Tuck Shop Strawberry Milkshakes 2.85g,/1/23324067-118e-499d-b5f1-833ebc5f950e.jpg,0,46
189139,5020379081665,815,Tuck Shop Vanilla Fudge 1kg,/1/5469f6e6-4ff8-4f21-8647-0dad19fc12da.jpg,0,46
264811,8410031136012,3000,Chupa Chups Fruit Lollipops - 1440g / 120 Lolly Bag,/1/b7bdefc3-0f86-4336-971b-1642ca0c5285.jpg,0,52
153881,8410031923605,3000,Chupa Chups The Best of 120 Assorted Flavour Lollipops 1440g,/1/5f17ff7f-df32-4604-9698-c0ac736af391.jpg,0,52
237253,5012035958381,600,HARIBO Bubblegum Bottles Z!ng 120 Pieces 924g,/1/5203507d-be00-4ad4-927b-e3ccdf9e9f00.jpg,0,52
90745,5012035926229,600,HARIBO Freaky Fish 1022g,/1/4a235c11-5310-4cf5-9263-c98f33520667.jpg,0,52
268071,5012035915049,600,HARIBO Friendship Rings 720g,/1/275303d4-580a-49f9-82d7-d723a5669a76.jpg,0,52
237259,5012035958749,600,HARIBO Giant Cola 60 Pieces 816g,/1/cf2ef3f8-5eb8-41fc-91ef-a4da8f4c1fa8.jpg,0,52
237706,5012035958633,600,HARIBO Giant Cola Z!ng 60 Pieces 816g,/1/0d40bc93-d153-4143-91a2-796016154da6.jpg,0,52
237747,5012035958763,600,HARIBO Giant Dummies 60 Pieces 816g,/1/d0d7ffcb-47a1-4a21-96d9-91605cf74bfd.jpg,0,52
237745,5012035958756,600,HARIBO Giant Dummies Zing 60 Pieces 816g,/1/976913ff-ae15-4d02-a1cb-848c45f779d2.jpg,0,52
90728,5012035926168,600,HARIBO Giant Strawbs 1056g,/1/81b37484-8632-41b8-8c8a-972767dbaaf6.jpg,0,52
93396,5012035926946,600,HARIBO Goldbears 1080g,/1/620aa58d-44e3-411d-9c74-6166a52b872b.jpg,0,52
90743,5012035926243,600,HARIBO Happy Cherries 924g,/1/c729d6f4-e31e-4878-99ad-e96bc9cc89e2.jpg,0,52
237749,5012035958459,600,HARIBO Happy Cherries Z!ng 1104g,/1/28e97f5c-ba46-4312-b6a2-67f1315849bf.jpg,0,52
250344,5020379153461,323,Chef's Larder Chilli Tortilla Chips 454g,/1/c8ca3315-5cc1-47d5-8140-481e55d51de8.jpg,0,18
248207,5020379151368,323,Chef's Larder Lightly Salted Tortilla Chips 454g,/1/8cbf4cd6-a0c1-4b89-991c-c7dfdcab6b9c.jpg,0,18
248209,5020379151382,323,Chef's Larder Tangy Cheese Tortilla Chips 454g,/1/722d0ce7-b6c0-4c2d-a921-73f8bacfec76.jpg,0,18
1017514,5060090200075,4625,Afropol Pistachio Nuts with Skin 1kg,/71386/6309181f-25ba-485a-a0bf-585fcbb7c00b.jpg,0,40
1017513,5060090202253,7275,Afropol Roasted & Salted Cashew Nuts 3kg,/71386/d239e432-d4c8-45d4-993d-3a5cc966dab6.jpg,0,40
1017510,5060090200129,905,Afropol Unsalted Blanched Peanuts 1kg,/71386/f048fb1a-8e3d-426b-a1f3-4e27a4b25e86.jpg,0,40
1016361,5060432050221,5155,Edgar's Choice Casino Mix,/71386/1b7fbfaf-0403-47d0-8399-9cd8da53e2c2.jpg,0,40
1016277,5060432050207,8155,Edgar's Choice Hotel Mix,/71386/6e76cdd1-811e-482a-a9c1-2d9b694024ac.jpg,0,40
